"Tarih","PM10","SO2","NO2","O3"
"2020/3/22","38.11864","5.72582","47.34184",
"2020/3/22","29.26733","5.80649","50.6214",
"2020/3/22","42.58416","5.90305","49.08489",
"2020/3/22","62.37593","6.50427","58.51447",
"2020/3/22","65.91602","7.24699","79.87492",
"2020/3/22","30.09502","7.35943","68.54768",
"2020/3/22","25.11215","7.3071","25.68983",
"2020/3/22","24.0295","7.81153","28.77597",
"2020/3/22","18.16438","8.06103","32.64434",
"2020/3/22","43.25608","9.40373","24.94241",
"2020/3/22","33.3125","9.55496",,
"2020/3/22","36.88636","8.92224","65.1911",
"2020/3/22","40.88652","8.92755","47.1587",
"2020/3/22","44.87571","9.24319","42.60794",
"2020/3/22","45.97163","8.37771","47.61913",
"2020/3/22","46","8.57882","46.28004",
"2020/3/22","54.75676","7.99856","56.33437",
"2020/3/21","67.6312","7.60376","67.7335",
"2020/3/21","56.35643","7.13507","94.27346",
"2020/3/21","30.73759","6.57216","111.5094",
"2020/3/21","18.35694","6.22576","93.51633",
"2020/3/21","14.11478","6.17528","24.49737",
"2020/3/21","13.02979","5.46239","17.66098",
"2020/3/21","32.36364","5.82199","20.71915",
"2020/3/21","27.17757","6.02827","31.59965",
"2020/3/21","24.08879","5.53593","21.46829",
"2020/3/21","26.91135","5.5187","21.10884",
"2020/3/21","31.85156","5.96327","22.75832",
"2020/3/21","39.77465","7.15782","41.97006",
"2020/3/21","45.83952","9.36465","38.86168",
"2020/3/21","63.51003","9.70467","57.60443",
"2020/3/21","32.87231","11.17741","86.03293",
"2020/3/21","17.42614","9.82168","67.05054",
"2020/3/21","17.97167","9.55397","46.75988",
"2020/3/21","15.08924","9.69523","35.662",
"2020/3/21","19.85127","9.0263",,
"2020/3/21","28.73267","9.57063","31.08215",
"2020/3/21","30.94059","9.29626","39.89952",
"2020/3/21","57.19574","9.13901","47.97744",
"2020/3/21","51.19915","9.23003","85.98044",
"2020/3/21","42.24324","8.83818","80.18473",
"2020/3/20","47.81595","7.69377","89.8585",
"2020/3/20","46.05919","7.58825","87.56202",
"2020/3/20","37.25312","7.3246","97.38013",
"2020/3/20","34.08451","6.19386","86.57096",
"2020/3/20","28.15906","6.19067","56.90493",
"2020/3/20","32.85128","6.18119","39.31128",
"2020/3/20","27.17847","5.92272","33.72839",
"2020/3/20","14.38559","5.79872","27.2697",
"2020/3/20","28.55319","6.09662","20.95422",
"2020/3/20","29","6.22237","30.15785",
"2020/3/20","33.84018","6.76189","27.64969",
"2020/3/20","37.88162","7.28257","35.99635",
"2020/3/20","29.26594","7.1087","34.58366",
"2020/3/20","36.7757","7.73726","35.55987",
"2020/3/20","32.13453","8.51138","56.01543",
"2020/3/20","23.26809","8.51188","60.80011",
"2020/3/20","31.73229","8.75547","37.70174",
"2020/3/20","32.97055","8.06844","27.91329",
"2020/3/20","40.75078","8.64306","30.61373",
